origin_warehouse,destination_store,product,on_time,product_quantity,driver_identifier
458efede-2515-46b3-87a4-9fd49e2d711b,b551ee49-8095-4c62-9876-409c029fd625,coffee,false,82,150ce0b1-05f8-48ef-bca1-5b516237cfdf
a8420740-3acf-4f09-8564-b2c1182b2299,dc95916d-7a45-4bb5-859c-3f2d5ad8ab14,lotion,true,46,b85f5ea6-6f33-4746-b933-8a5153a2f142
42929165-b971-4546-b882-8f90e59c3e0f,53ff8d36-3cbd-47a4-9fd5-738e3b547fd7,bikes,false,8,95fba593-e6c7-48ff-b1f5-88972f3e2f14
53cfa054-aabc-41b6-a357-af13f2dc5770,75a59dfe-7946-4f3e-baaa-bcdf8e9a3026,pants,false,77,443e39f6-2d29-41e0-b32d-8e7be788dfc6
7b346de1-fe35-4204-93d2-0cb2600b4213,0d9a9d9f-f2ea-43a0-8289-51baed42f345,board games,false,70,d6e311be-6352-4a0d-8221-576d527953d4
eb1d7193-5c90-4fcf-b41b-a6a3d5f925df,3ff2bcdb-6959-44ca-b3f5-d386e1b2144b,balloons,true,71,e3a82c33-1ad1-4bd8-bf70-fa8045e9e7aa
f47e4ef6-e326-433f-884c-a3802095a502,a2079d4b-3e83-46b1-a176-ea43e2b931d7,journals,true,52,9d5ee3ca-a053-4ad1-b795-33b9e5d6195e
a0d5e405-23fc-4c24-8c7f-bd0b40b3b724,a23f6c7b-888e-4fac-ae5a-1cb2a2ffcbc0,hydroponic equipment,false,52,5f814eda-c186-4fc3-ad42-ba5406460198
2ea0f049-e73e-4506-805c-4f12b4a7810b,ad4c02d5-62ae-4ddd-8df2-0a4566b4defe,eggs,true,62,72ddf0d2-1d52-46fb-a0db-e118386db6d7
6820af07-1d42-417d-97a3-176e30884c33,b5863d0e-93b8-41eb-b237-b92ae20513c2,pants,true,23,892aa333-32c6-41dd-937d-1c2aae5bfdf2
48a1b6eb-bac0-4fe8-8dc0-dbf56a49a771,394d1002-25e7-48e0-9c3d-0f0b97eddbae,windows,false,75,cc022d6c-8172-432b-86fc-7669ccc01030
c7f14ee0-3187-4d74-8849-714c10e168ba,b7878195-8d8a-439e-a3b7-fc766ceb62ba,balloons,true,17,b55f381d-c18f-4697-8de3-87b2bf6c2144
c3681bad-d1a9-4cc4-8d26-b00e51c0c7ee,a22b928a-a5d6-4fe8-9f7a-fab531f9543f,carnivorous plants,false,13,74575acb-3f78-4b6e-97aa-86823c8daa9b
dc883f1f-7e8f-40bf-a4b0-b41328c675b6,889f6174-2256-4747-9156-8d3a3b0f5406,calculators,false,13,c7e65ac2-a424-4cdd-abbe-45051dedb3e7
68dc7343-9c24-4c9b-bd29-acae05bf399c,dd83a1b4-c569-47a6-a705-8d424dc91fa2,guitars,false,97,b7aff472-e4a8-4985-b87a-5bc17b8a4984
b21bcc31-0451-4f80-963f-3087de248f8a,11d27aee-b7ce-43ba-8ddb-5a10ae151f8e,yoga mats,false,31,af9de98a-175e-438f-9759-c01158885db3
8dbbc936-6d70-46c8-8573-c0ca8825329f,f4cc408a-6f4f-4ebe-87f4-1f6b93ec0bee,hvac,true,15,8dd4d537-b69a-4d83-91b6-5c20514c74ca
1be3c9a2-37b8-4e24-a360-c4c7cc7ff713,1aa40626-9d29-4a29-a815-7788529a3a74,coffee,false,89,44e05f20-74a0-4ae3-8683-53abac4d66a8
d808ffd0-d467-4bcc-8449-9e748b4a04ce,a1316db2-ab92-4569-9538-bf63f43e6a0b,fruit,false,89,9891cbae-3c02-4f71-97ca-bac2167c2d63
7e79d23c-8877-4200-aeee-35a5934db1df,c9943890-9047-4346-87b2-77ddbb997350,windows,true,52,92ecc03e-6c20-440c-ac99-c141b17dea8c
4ece87fd-d687-4fa1-a217-7822923a1ade,f609d6d9-d7fa-4f5b-9dec-d4f016d1fa48,hydroponic equipment,true,9,9f563356-28f7-4353-b4b9-8caa64c3fab5
98811bfd-37d0-4895-bbeb-e8235602abbd,3c0effcc-e964-4631-975a-921cc9cda9d5,capes,false,92,629b433c-3eef-4338-8714-f899ad79850b
cebefc0d-2fb9-4e91-94fe-2fb720e8f058,25615e8c-ea06-491e-bcdf-9865bdd7e5ac,pencils,false,49,1510dba4-3023-4d43-a92d-edd2092f79df
ff32be02-476b-4616-9dbd-78dd6f3d928b,0d770726-de32-4072-b9d1-87da26be6d42,coffee,false,88,68f7f701-4d57-4f7f-86fa-dcb679343924
b7ae2648-bc18-4b26-87cf-8f68b75a7888,f583d462-eb6a-416a-9c1a-98f496525d88,fruit,true,71,aa796afa-0ae5-4d17-bdf9-c6391ad880ec
11382b86-0769-4f6e-afea-c921397a444a,71f7be6f-ae6a-4232-ad7a-78c3cb77c754,keyboards,false,95,7321f568-ed5a-4e28-80fb-7f65aebbed0b
68da2756-09f4-49fa-b3d9-f6b8798da0ac,a8ffbfd5-dc8b-4ec3-b2bf-c99649303da2,coffee,true,42,5ab09603-441e-460a-908c-1db3d8641532
6656251a-ca70-401b-9dc1-5b5d892ea630,d60fa858-eea6-4807-a25d-638bd793a0a1,pants,false,49,67fc5885-d261-407e-a889-e5bb720d19d5
5ebd7a1c-2d62-406e-b2b4-c250625e6287,8397177a-86f1-4da9-802c-e3866867ac94,earplugs,false,67,7fe0c723-2b05-48f5-a22c-eb3a60eae33a
8d73d024-6813-44e6-93f2-9ee8cb20718f,fbd86280-4d9c-4c94-a886-8c7046f715b7,candles,true,80,37ad3c4e-ccde-419b-8dac-acb976d4c280
0095d8da-3246-4f33-b76d-990b5ac46dc9,c4c7595f-4d8f-4aaf-b7eb-b1437008ff31,water bottles,false,86,75f6e13d-1f96-474e-84ac-83afbc76b9f6
02e5081e-abf3-4e23-a9ef-47b0949f31b9,c84a77f1-94e7-45e4-b187-640aaa465ca0,windows,true,50,91e1b866-b671-4e0b-aeda-cfc8cab0d86b
44080c04-3ad0-43bb-a40d-d37e35e032f2,eed45163-9a39-4b1c-8b88-45ec4eb9b6ce,fishing poles,false,46,419b432e-a852-4f94-a881-9c182660e10f
a6174fda-397f-4e9a-9fed-75166bca2c16,0d8f57e2-cd6a-4e9d-8f16-45723b54be73,pencil sharpeners,true,92,73994c93-335d-4b64-820b-f539297fbe9c
52075ab4-f664-416f-b583-a366b168bc5e,0f4d47b0-f097-4966-9f29-78415e2e9e7c,hats,true,78,1c4bf3f8-5445-4dd7-9375-b744e1204e18
43e66a58-b6ef-40da-ac74-6516dd0d6830,922e8e10-7ca8-4c94-b1e5-0249db05a8c1,animal masks,false,60,d684dfe0-666f-4e9d-9c2e-8d74f68fe684
e2055730-995c-4180-894f-116aec59bbab,4ab87e71-14af-4e71-9929-36a226282246,trampolines,false,99,b8d574a5-546c-40c8-8b3b-dad0ff5970b0
8826333b-cf1f-44ee-98db-cc159e5afa5f,d672e1cf-afe7-43ab-8c37-5494c5865529,journals,true,98,8603e148-2d3c-422a-9b36-3a4241bbdce0
80c0f4e4-3001-4983-91a9-44b1742e6f6b,ceb2015f-39cc-405b-b5d5-85689389a990,furniture,true,93,99b12083-d781-411d-95e8-9c83dd987099
4684e7d3-c044-4a98-80e9-5f43e9ff23d3,9db9f884-b940-428b-b57d-f019859cfbce,capes,true,61,a50960f2-95fd-4dbc-8ef0-15bf753a20fa
dc85afa8-4888-4e1f-8cdd-470879901108,1ceb1c5d-ec87-43b9-9a8c-2731f3fbd1e2,yarn,false,21,8f7daff2-620b-4fc1-9490-a932cebdbd8f
d7739dfe-596f-4527-a0ae-83a5b2f32b0d,2d1ab995-977f-4f05-a5e0-80f9d2e8fff7,alternators,false,9,623d681f-8bc8-4fdf-8045-4f204e8a289a
f933a1d6-0b38-427a-9fd0-297d8eb94918,6d5ea524-75df-4404-b07b-0df1a9cd0121,windows,false,99,31a3a354-b88a-46ef-83bb-4dba05221f8d
c2503d64-0050-4d35-822c-6a540272fe1a,0f8c5154-7f7b-46ab-ad4d-d5c993e2c84e,hats,true,45,8c9c7567-c853-4769-a8af-244e5373676b
89a6aaff-4a87-400f-915f-9e6f2d263a32,9a614d0d-12bc-4de7-84da-5def82a15c74,capes,false,21,3e8e5e4a-8bd6-47a5-8916-7b2f9691b862
5edca4f4-c65a-4936-8c63-0694ba8245cb,fedd55d5-e1cc-42d4-9a14-c36ba242f32d,keyboards,true,41,85e1286d-79a7-4308-bbea-2f67a344dad7
125958b0-d8fd-4dcb-826b-a5f8f39a9956,dd93f3be-7e31-4600-bfab-eab48fac2e30,guitars,false,38,7fe382b8-9316-411f-98e2-c3795e8e32ee
2581514a-9e27-4d03-9943-478f2e059151,0c64ec45-1b2c-46a6-a3b8-8b1f9987b8c1,capes,true,88,ec1fd01b-3869-4ca4-b83e-3ae985bd8db0
22b17302-3ea2-4bf4-b5a9-50b4efd0bbc7,990c258c-276b-4e97-8ea8-a6eeb127377b,fruit,true,88,ee97c346-fa71-4b90-a2fa-e7c573cca833
c47b1521-0d18-410e-908b-780e91a78118,cf4386a1-9272-4141-884a-089164d72923,coffee,true,41,1edc17f1-afbc-44f1-b00b-a23a36440cd1
f473d983-eb17-4b62-85fd-76b31540e41d,8ee29392-1b02-4940-801e-3d27c5c0e885,fruit,false,17,7dbd3510-9735-4bec-8efb-a9ecbc60b27f
af1a5839-9736-4c7d-b48c-8c3c560bbf02,cdcac61f-a48e-4de5-bdd6-f6e733716395,candy,false,21,c5302129-b423-4310-a2af-734c04e75955
39053f90-0c8f-4e5e-b8b2-4b51c82d7014,5ee93361-df63-45cf-84ea-8102ce020bd5,baby food,false,75,1c65b78e-4c67-416e-ad41-70eb4f657710
d45c1fc9-2b06-4a2b-9625-7a8bda5b2be7,f9bc33c3-399c-497c-9587-59194f9c2bcf,animal masks,true,8,10ca12f9-4189-47a2-9686-6f42303282af
b7392abc-151f-43fe-97d8-aee98f46f246,cf05fc39-3809-47b1-bf2b-3fb743493575,candles,false,42,eb398b83-36f2-4d40-91fd-26e086c5c9cf
ff60676a-e25d-4628-84e9-203c98225944,1a8d7f91-898e-4c9b-9ea3-96b57d6c1c3c,board games,true,90,b06867f3-f39a-4aa7-8e7a-4f774244331b
bad8935d-55aa-49aa-81d9-d42c3410b108,1b9491ef-60f8-480e-b063-060029f6532c,baby food,false,80,1eb6eaa0-f3a4-42d0-8e80-505ec78db4c7
0338aff7-ed92-4128-9957-24e109b1aa5b,bc0dc730-aab8-4fb1-94ef-24350c6cd850,furniture,false,61,81d7a772-5f57-4bc6-9d7f-eadc7ab6b32b
7d12aa83-b1c4-4c6c-a3e6-b7cd6f26498c,3ebbac00-534f-4c13-bef0-4b495a264851,hats,true,87,76570022-a237-4cad-95fc-7682d2374450
72ea2fbd-b7e1-4c61-8292-a8924d6ee8f0,f87b387f-3709-4406-9839-5045631bd4e4,water bottles,false,87,b3aafbd7-9531-4b55-9b04-581821c85e30
a3e21e04-b65b-47da-845a-4cdaf559f5f2,4c4721d5-eabb-44c6-83a2-5b8ea7039e69,shoes,true,14,005a3b7f-de08-4cbb-bba0-ccf42e85c4d7
e2ee7c06-c34e-42e7-8e35-055953addca3,9f129880-ede4-4c4d-adbe-c0d04e75cf1c,fruit,true,55,71a7de14-c546-4099-929c-af307c0d2127
aa0823cf-e8a7-4500-934a-b18b42036d2e,b971a15c-87ef-4e79-814d-228534ad2c1a,capes,false,41,802722fe-527d-4ddf-91f5-65b2fe1f6dec
a7523398-8ffe-49bb-bec2-ba85709bd3d9,97fab43b-c89a-459c-a700-e5bb645fb557,trampolines,true,44,28bb92fd-40da-42e5-8189-11f5b6d5cdc5
e9bee4c1-c56a-4e8e-8e91-79d8f6a98b5b,82982f6a-bf45-443f-84f2-47f9f78fdce9,windows,false,70,f521809c-bc9b-4117-b58b-d8252ffbf717
d7d52dc6-d13e-4a07-aa6a-934642b20473,b4c2d12a-b9fa-4143-b411-69032cdd5927,fruit,true,43,16f851ea-8ddd-42b2-92fe-dd9c1ac89e16
d247fff7-d785-4593-aad9-ddb3f6d0a809,640beb45-2e69-4ff4-b01c-37cd9c0c2427,shoes,true,16,42b9222f-6a4b-4486-b80a-ee7bc18817f5
e92bc306-314e-4853-8728-0107aa27b936,f94fbe6a-3f7a-4141-8405-9748f55ac880,microwaves,true,25,c525a67b-72d8-49ba-8c08-3b82635d6f10
333bc679-0295-49cd-ad2e-cbb89a65bd99,b6acb8d3-1efd-4496-b0e7-5f2d4be9ff45,paint,false,26,5423481d-6fce-40ab-bea9-69640a650b0b
b7f83fe7-6ae2-4e75-81e1-8440d26778c2,d72c004c-6999-4ffb-b291-1bd581c65d95,socks,true,40,50531c03-d16d-4d40-bed3-d379a3f2a3ca
d26316d2-19e2-45c0-9ada-b92ba56a4da2,3343a3b9-be11-4276-bca9-d7f4dd0b40aa,shoes,false,42,abe49e2f-03ce-43f8-b828-79a0905b6327
b65da068-cfdf-4247-84db-91232e610217,d74dc441-1948-4ba8-aeef-843bd074e246,candy,false,84,31b75be6-53d6-459e-b90f-005dce535a1b
fc629195-daf2-465a-91bd-330719735bb1,60df7002-bc50-4357-8014-02e42f5a5ab6,keyboards,false,14,b7bdc199-8f95-4c3f-a01f-ef484ff10838
ee0f4141-13ad-4289-a414-f1756a5748ef,3264f6eb-ce55-44da-845b-32cbf99da950,earplugs,true,25,f7de33d1-bee5-4285-b618-ed65a9a49d3e
c6d4e9d1-45a7-4948-9ec6-be687c4b8bba,fdc68f90-b2e4-483b-985d-b237467e8d9a,textbooks,false,39,d95cf3ae-f5e5-487b-947c-f628d0a44d30
bad3d1a2-b14d-4efa-8f81-5270ee921ae6,d7a8eb36-e00d-484f-b21e-a2ab742f8a2a,capes,false,16,a5647bc7-6e55-4163-a97b-5f85f221eb56
d2ee1b75-2218-4753-9487-dcca23d667c6,0a994581-341f-43bf-979d-ece1e58de7ec,paint,true,95,a9784b8d-d222-4cdf-93fb-b3886c8033c5
6a6d3fce-c5aa-4154-a6a3-b56cb41f709f,403bf915-a897-4918-933b-3996e144e960,snakes,false,54,2fd9a976-bac5-4803-be43-bf93cc618ad1
b19cec0d-357e-4c6b-9257-8be52b1c71b5,d3b17672-60fb-443f-a047-2c379132dcb1,alternators,false,20,45c9bd5b-caf6-4ec1-b1eb-09fe615fbdc6
d2a2460e-00d1-41f2-84cc-eba01eb88d75,b9f78d5b-79ae-441e-9dbf-592767af34a5,pencil sharpeners,false,7,d7432792-20ad-4a7f-a395-81f04fee89fe
75891066-59b4-437b-951f-ec553fb26b94,28fff0d2-38ea-40a7-b2ef-c2a2f7e69370,apples,false,35,cebc86e8-c327-46f7-96b3-35684d169455
